STATION_ID,STATION_TYPE,YEAR,AVG_STATION_DEPTH_m
RO056103,OpenWater,2005,5.80
RO056104,OpenWater,2005,10.64
RO056105,OpenWater,2005,5.20
RO056106,OpenWater,2005,8.00
RO056107,OpenWater,2005,3.70
RO056108,OpenWater,2005,10.25
RO056109,OpenWater,2005,5.98
RO056110,OpenWater,2005,7.10
RO056111,OpenWater,2005,8.08
RO056112,OpenWater,2005,4.39
RO056113,OpenWater,2005,9.97
RO056114,OpenWater,2005,6.25
RO056115,OpenWater,2005,1.59
RO06301,OpenWater,2006,1.80
RO06302,OpenWater,2006,11.70
RO06303,OpenWater,2006,9.40
RO06304,OpenWater,2006,9.97
RO06305,OpenWater,2006,4.79
RO06308,OpenWater,2006,13.40
RO06309,OpenWater,2006,3.70
RO06310,OpenWater,2006,6.06
RO06311,OpenWater,2006,2.06
RO06312,OpenWater,2006,2.40
RO06313,OpenWater,2006,5.94
RO06314,OpenWater,2006,4.00
RO06315,OpenWater,2006,1.56
RO06317,OpenWater,2006,5.93
RO06318,OpenWater,2006,1.60
RO06319,OpenWater,2006,3.05
RO06320,OpenWater,2006,3.40
RO06321,OpenWater,2006,2.85
RO06322,OpenWater,2006,8.65
RO06323,OpenWater,2006,2.76
RO06324,OpenWater,2006,5.36
RO06326,OpenWater,2006,4.13
RO07328,OpenWater,2007,3.30
RO07329,OpenWater,2007,6.62
RO07330,OpenWater,2007,7.09
RO07333,OpenWater,2007,2.85
RO07334,OpenWater,2007,3.33
RO07335,OpenWater,2007,4.60
RO07336,OpenWater,2007,2.89
RO07337,OpenWater,2007,7.45
RO07338,OpenWater,2007,6.18
RO07339,OpenWater,2007,2.70
RO07342,OpenWater,2007,5.23
RO08343,OpenWater,2008,10.61
RO08344,OpenWater,2008,0.90
RO08346,OpenWater,2008,4.38
RO08347,OpenWater,2008,5.80
RO08348,OpenWater,2008,7.50
RO08349,OpenWater,2008,5.14
RO08350,OpenWater,2008,
RO08351,OpenWater,2008,8.03
RO08353,OpenWater,2008,8.50
RO08354,OpenWater,2008,4.83
RO08355,OpenWater,2008,7.77
RO08356,OpenWater,2008,3.93
RO08357,OpenWater,2008,4.90
RO08358,OpenWater,2008,4.72
RO09359,OpenWater,2009,11.94
RO09360,OpenWater,2009,2.70
RO09361,OpenWater,2009,3.60
RO09362,OpenWater,2009,5.30
RO09363,OpenWater,2009,8.35
RO09364,OpenWater,2009,1.20
RO09366,OpenWater,2009,10.30
RO09367,OpenWater,2009,5.39
RO09368,OpenWater,2009,5.91
RO09369,OpenWater,2009,6.70
RO09370,OpenWater,2009,9.72
RO09371,OpenWater,2009,3.00
RO09372,OpenWater,2009,5.80
RO09373,OpenWater,2009,2.28
RO09374,OpenWater,2009,7.20
RO10375,OpenWater,2010,3.42
RO10376,OpenWater,2010,7.09
RO10377,OpenWater,2010,4.04
RO10378,OpenWater,2010,2.17
RO10379,OpenWater,2010,3.75
RO10380,OpenWater,2010,2.30
RO10382,OpenWater,2010,5.50
RO10383,OpenWater,2010,3.56
RO10385,OpenWater,2010,3.20
RO10387,OpenWater,2010,3.97
RO10388,OpenWater,2010,3.22
RO10389,OpenWater,2010,2.55
RO10390,OpenWater,2010,3.33
RO10391,OpenWater,2010,4.77
RO10392,OpenWater,2010,4.05
RO11301,OpenWater,2011,2.61
RO11302,OpenWater,2011,11.00
RO11303,OpenWater,2011,5.50
RO11304,OpenWater,2011,6.45
RO11305,OpenWater,2011,13.00
RO11306,OpenWater,2011,7.80
RO11307,OpenWater,2011,4.00
RO11308,OpenWater,2011,8.40
RO11309,OpenWater,2011,11.39
RO11310,OpenWater,2011,4.02
RO11311,OpenWater,2011,1.09
RO11312,OpenWater,2011,1.78
RO11313,OpenWater,2011,7.63
RO11314,OpenWater,2011,10.42
RO11315,OpenWater,2011,7.30
RO12316,OpenWater,2012,0.90
RO12317,OpenWater,2012,4.45
RO12318,OpenWater,2012,5.37
RO12319,OpenWater,2012,4.00
RO12320,OpenWater,2012,2.72
RO12321,OpenWater,2012,8.30
RO12322,OpenWater,2012,7.75
RO12323,OpenWater,2012,4.15
RO12324,OpenWater,2012,5.40
RO12325,OpenWater,2012,1.80
RO12326,OpenWater,2012,2.25
RO12327,OpenWater,2012,3.70
RO12328,OpenWater,2012,3.36
RO12329,OpenWater,2012,3.65
RO12330,OpenWater,2012,3.82
RO13332,OpenWater,2013,9.10
RO13333,OpenWater,2013,3.40
RO13334,OpenWater,2013,11.20
RO13336,OpenWater,2013,5.20
RO13337,OpenWater,2013,11.75
RO13338,OpenWater,2013,5.43
RO13339,OpenWater,2013,3.18
RO13340,OpenWater,2013,4.30
RO13341,OpenWater,2013,4.49
RO13342,OpenWater,2013,6.79
RO13343,OpenWater,2013,4.90
RO13344,OpenWater,2013,8.01
RO13345,OpenWater,2013,1.76
RO13346,OpenWater,2013,9.64
RO14347,OpenWater,2014,3.84
RO14348,OpenWater,2014,7.90
RO14349,OpenWater,2014,5.80
RO14352,OpenWater,2014,10.94
RO14353,OpenWater,2014,6.22
RO14354,OpenWater,2014,1.83
RO14355,OpenWater,2014,4.15
RO14356,OpenWater,2014,5.18
RO14357,OpenWater,2014,10.16
RO14358,OpenWater,2014,4.10
RO14359,OpenWater,2014,6.10
RO14360,OpenWater,2014,3.10
RO14361,OpenWater,2014,6.77
RO15362,OpenWater,2015,1.50
RO15364,OpenWater,2015,8.70
RO15365,OpenWater,2015,4.60
RO15366,OpenWater,2015,1.02
RO15367,OpenWater,2015,4.12
RO15368,OpenWater,2015,8.86
RO15369,OpenWater,2015,5.95
RO15370,OpenWater,2015,4.90
RO15371,OpenWater,2015,4.00
RO15372,OpenWater,2015,2.65
RO15374,OpenWater,2015,2.83
RO15375,OpenWater,2015,2.70
RO15376,OpenWater,2015,4.90
RO15377,OpenWater,2015,5.29
RO15378,OpenWater,2015,3.70
RO16379,OpenWater,2016,1.80
RO16380,OpenWater,2016,5.98
RO16381,OpenWater,2016,4.07
RO16382,OpenWater,2016,9.10
RO16383,OpenWater,2016,3.40
RO16384,OpenWater,2016,5.03
RO16386,OpenWater,2016,3.16
RO16387,OpenWater,2016,5.78
RO16388,OpenWater,2016,6.40
RO16389,OpenWater,2016,7.15
RO16390,OpenWater,2016,2.46
RO16391,OpenWater,2016,2.33
RO16392,OpenWater,2016,1.53
RO16393,OpenWater,2016,4.13
RO16394,OpenWater,2016,6.74
RO17395,OpenWater,2017,2.40
RO17396,OpenWater,2017,3.50
RO17397,OpenWater,2017,4.18
RO17398,OpenWater,2017,5.80
RO17399,OpenWater,2017,4.00
RO17400,OpenWater,2017,3.70
RO17401,OpenWater,2017,5.20
RO17403,OpenWater,2017,4.33
RO17404,OpenWater,2017,4.90
RO17405,OpenWater,2017,7.08
RO17406,OpenWater,2017,9.25
RO17407,OpenWater,2017,2.04
RO17408,OpenWater,2017,1.80
RO17409,OpenWater,2017,3.00
RO17410,OpenWater,2017,4.60
RO18411,OpenWater,2018,1.80
RO18412,OpenWater,2018,5.76
RO18414,OpenWater,2018,7.00
RO18415,OpenWater,2018,4.30
RO18417,OpenWater,2018,4.78
RO18418,OpenWater,2018,5.22
RO18419,OpenWater,2018,3.18
RO18420,OpenWater,2018,4.90
RO18421,OpenWater,2018,4.60
RO18422,OpenWater,2018,4.69
RO18423,OpenWater,2018,4.60
RO18424,OpenWater,2018,2.84
RO18425,OpenWater,2018,4.74
RO18426,OpenWater,2018,5.92
RO99302,OpenWater,1999,10.00
RO99303,OpenWater,1999,1.00
RO99304,OpenWater,1999,2.50
RO99305,OpenWater,1999,10.00
RO99306,OpenWater,1999,2.00
RO99307,OpenWater,1999,2.00
RO99308,OpenWater,1999,10.00
RO99309,OpenWater,1999,5.00
RO99310,OpenWater,1999,5.00
RO99311,OpenWater,1999,3.00
RO99312,OpenWater,1999,6.00
RO99313,OpenWater,1999,2.00
RO99315,OpenWater,1999,3.00
RO99316,OpenWater,1999,3.50
RO99317,OpenWater,1999,5.30
RO99318,OpenWater,1999,4.00
RO99319,OpenWater,1999,5.00
RO99320,OpenWater,1999,10.00
RO99321,OpenWater,1999,2.00
RO99322,OpenWater,1999,2.80
RO99324,OpenWater,1999,5.00
RO99325,OpenWater,1999,6.00
RO99326,OpenWater,1999,2.00
RO99327,OpenWater,1999,2.00
RO99328,OpenWater,1999,7.00
RO99329,OpenWater,1999,5.50
RO99330,OpenWater,1999,4.00
RT00501,TidalCreek,2000,3.40
RT00502,TidalCreek,2000,2.55
RT00503,TidalCreek,2000,3.33
RT00504,TidalCreek,2000,1.95
RT00505,TidalCreek,2000,2.10
RT00517,TidalCreek,2000,2.40
RT00518,TidalCreek,2000,1.54
RT00519,TidalCreek,2000,2.40
RT00521,TidalCreek,2000,2.26
RT00523,TidalCreek,2000,1.50
