SP_CODE,SpCodeTaxon,Accepted,CorrectedTaxonName,Level,Phylum,Class,Order,Family,Genus,Species,OrganismCategory,OrgCat2,OrgCatAbbrev,OrgCat3,PloverPrey,PreyCat,Common Name,Comments
A147,Cyprinodon variegatus,no,Cyprinodon variegatus variegatus,Subspecies,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,variegatus,fish-bony,fish,O,fish,No,,sheepshead minnow,
A148,Fundulus heteroclitus,yes,Fundulus heteroclitus,Subspecies,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,fish-bony,fish,O,fish,No,,mummichog,
A149,Fundulus majalis,yes,Fundulus majalis,Species,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,majalis,fish-bony,fish,O,fish,No,,striped killifish,
A151,Gambusia affinis,yes,Gambusia affinis,Species,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,affinis,fish-bony,fish,O,fish,No,,western mosquitofish,
A153,Poecilia latipinna,yes,Poecilia latipinna,Species,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,latipinna,fish-bony,fish,O,fish,No,,sailfin molly,
A155,Menidia beryllina,yes,Menidia beryllina,Species,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Menidia,beryllina,fish-bony,fish,O,fish,Yes,silverside,inland silverside,
A156,Menidia menidia,yes,Menidia menidia,Species,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Menidia,menidia,fish-bony,fish,O,fish,Yes,silverside,Atlantic silverside,
A164,Hippocampus erectus,yes,Hippocampus erectus,Species,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,erectus,fish-bony,fish,O,fish,No,,lined seahorse,
A168,Syngnathus fuscus,yes,Syngnathus fuscus,Species,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,fuscus,fish-bony,fish,O,fish,No,,northern pipefish,
A172,Centropomus undecimalis,yes,Centropomus undecimalis,Species,Chordata,Actinopterygii,Perciformes,Centropomidae,Centropomus,undecimalis,fish-bony,fish,O,fish,No,,common snook,
A173,Morone americana,yes,Morone americana,Species,Chordata,Actinopterygii,Perciformes,Moronidae,Morone,americana,fish-bony,fish,O,fish,No,,white perch,
A174,Morone saxatilis,yes,Morone saxatilis,Species,Chordata,Actinopterygii,Perciformes,Moronidae,Morone,saxatilis,fish-bony,fish,O,fish,No,,striped bass,
A176,Centropristis philadelphica,yes,Centropristis philadelphica,Species,Chordata,Actinopterygii,Perciformes,Serranidae,Centropristis,philadelphica,fish-bony,fish,O,fish,No,,rock sea bass,
A177,Centropristis striata,yes,Centropristis striata,Species,Chordata,Actinopterygii,Perciformes,Serranidae,Centropristis,striata,fish-bony,fish,O,fish,No,,black sea bass,
A178,Diplectrum formosum,yes,Diplectrum formosum,Species,Chordata,Actinopterygii,Perciformes,Serranidae,Diplectrum,formosum,fish-bony,fish,O,fish,No,,sand perch,
A189,Mycteroperca microlepis,yes,Mycteroperca microlepis,Species,Chordata,Actinopterygii,Perciformes,Serranidae,Mycteroperca,microlepis,fish-bony,fish,O,fish,No,,gag,
A206,Pomatomus saltatrix,yes,Pomatomus saltatrix,Species,Chordata,Actinopterygii,Perciformes,Pomatomidae,Pomatomus,saltatrix,fish-bony,fish,O,fish,No,,bluefish,
A207,Rachycentron canadum,yes,Rachycentron canadum,Species,Chordata,Actinopterygii,Perciformes,Rachycentridae,Rachycentron,canadum,fish-bony,fish,O,fish,No,,cobia,
A217,Caranx hippos,yes,Caranx hippos,Species,Chordata,Actinopterygii,Perciformes,Carangidae,Caranx,hippos,fish-bony,fish,O,fish,No,,crevalle jack,
A220,Chloroscombrus chrysurus,yes,Chloroscombrus chrysurus,Species,Chordata,Actinopterygii,Perciformes,Carangidae,Chloroscombrus,chrysurus,fish-bony,fish,O,fish,No,,Atlantic bumper,
A227,Oligoplites saurus,yes,Oligoplites saurus,Species,Chordata,Actinopterygii,Perciformes,Carangidae,Oligoplites,saurus,fish-bony,fish,O,fish,No,,leatherjack,
A229,Selene vomer,yes,Selene vomer,Species,Chordata,Actinopterygii,Perciformes,Carangidae,Selene,vomer,fish-bony,fish,O,fish,No,,lookdown,
A234,Trachinotus carolinus,yes,Trachinotus carolinus,Species,Chordata,Actinopterygii,Perciformes,Carangidae,Trachinotus,carolinus,fish-bony,fish,O,fish,No,,pompano,
A235,Trachinotus falcatus,no,Trachinotus blochii,Species,Chordata,Actinopterygii,Perciformes,Carangidae,Trachinotus,blochii,fish-bony,fish,O,fish,No,,permit,
