SP_CODE,SpCodeTaxon,Accepted,CorrectedTaxonName,Level,Phylum,Class,Order,Family,Genus,Species,OrganismCategory,OrgCat2,OrgCatAbbrev,OrgCat3,PloverPrey,PreyCat,Common Name,Comments
A809R,Gambusia sp.,yes,Gambusia sp.,Species,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,na,fish-bony,fish,O,fish,No,,,
A814,Menidia sp.,yes,Menidia sp.,Genus,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Menidia,na,fish-bony,fish,O,fish,Yes,silverside,,
A865,Syngnathus sp.,yes,Syngnathus sp.,Genus,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,na,fish-bony,fish,O,fish,No,,,
A919R,Lepomis sp.,yes,Lepomis sp.,Genus,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,na,fish-bony,fish,O,fish,No,,,Not in worms or IT IS used animal diversity web
A966,Eucinostomus sp.,yes,Eucinostomus sp.,Genus,Chordata,Actinopterygii,Perciformes,Gerreidae,Eucinostomus,na,fish-bony,fish,O,fish,No,,,
A998,Menticirrhus sp.,yes,Menticirrhus sp.,Genus,Chordata,Actinopterygii,Perciformes,Sciaenidae,Menticirrhus,na,fish-bony,fish,O,fish,No,,,
B084,Astroscopus sp.,yes,Astroscopus sp.,Genus,Chordata,Actinopterygii,Perciformes,Uranoscopidae,Astroscopus,na,fish-bony,fish,O,fish,No,,,
B096,Hypsoblennius sp.,yes,Hypsoblennius sp.,Genus,Chordata,Actinopterygii,Perciformes,Blenniidae,Hypsoblennius,na,fish-bony,fish,O,fish,No,,,
B151,Gobionellus shufeldti,no,Ctenogobius shufeldti,Species,Chordata,Actinopterygii,Perciformes,Gobiidae,Ctenogobius,shufeldti,fish-bony,fish,O,fish,No,,freshwater goby,
B270,Citharichthys sp.,yes,Citharichthys sp.,Genus,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,na,fish-bony,fish,O,fish,No,,,
B274,Etropus sp.,yes,Etropus sp.,Genus,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Etropus,na,fish-bony,fish,O,fish,No,,,
B277,Paralichthys sp.,yes,Paralichthys sp.,Genus,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,na,fish-bony,fish,O,fish,No,,,
B337,Ictalurus sp.,yes,Ictalurus sp.,Genus,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,na,fish-bony,fish,O,fish,No,,,
B350,Ogcocephalidae,yes,Ogcocephalidae,Family,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,na,na,fish-bony,fish,O,fish,No,,,
B369R,Amiidae,yes,Amiidae,Family,Chordata,Actinopterygii,Amiiformes,Amiidae,na,na,fish-bony,fish,O,fish,No,,,
B395,Micropterus salmoides,yes,Micropterus salmoides,Species,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,salmoides,fish-bony,fish,O,fish,No,,largemouth bass,Not on worms
B423,Peprilus paru,yes,Peprilus paru,Species,Chordata,Actinopterygii,Perciformes,Stromateidae,Peprilus,paru,fish-bony,fish,O,fish,No,,American harvestfish,Repeat of A375
B428,Monacanthidae,yes,Monacanthidae,Family,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,na,na,fish-bony,fish,O,fish,No,,,
B461,Ictalurus furcatus,yes,Ictalurus furcatus,Species,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,furcatus,fish-bony,fish,O,fish,No,,blue catfish,
B514,Branchiostoma caribaeum,yes,Branchiostoma caribaeum,Species,Chordata,Leptocardii,na,Branchiostomatidae,Branchiostoma,caribaeum,lancelet-chordate,other,O,lancelet-chordate,No,,,
B535,Lutjanus synagris,yes,Lutjanus synagris,Species,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,synagris,fish-bony,fish,O,fish,No,,lane snapper,
B538,Stenotomus caprinus,yes,Stenotomus caprinus,Species,Chordata,Actinopterygii,Perciformes,Sparidae,Stenotomus,caprinus,fish-bony,fish,O,fish,No,,longspine porgy,
B566,Megalops atlanticus,yes,Megalops atlanticus,Species,Chordata,Actinopterygii,Elopiformes,Megalopidae,Megalops,atlanticus,fish-bony,fish,O,fish,No,,Atlantic tarpon,
B601,Tunicata,yes,Tunicata,Subphylum,Chordata,na,na,na,na,na,tunicate,other,O,tunicate,No,,,Repeat
B602,Molgula sp.,yes,Molgula sp.,Genus,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,na,tunicate,other,O,tunicate,No,,,
B603,Molgula manhattensis,yes,Molgula manhattensis,Species,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,manhattensis,tunicate,other,O,tunicate,No,,sea squirts,Repeat
B622,Pyura vittata,yes,Pyura vittata,Species,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Pyura,vittata,tunicate,other,O,tunicate,No,,,
B630,Ascidiacea,yes,Ascidiacea,Class,Chordata,Ascidiacea,na,na,na,na,tunicate,other,O,tunicate,No,,,
B676,Branchiostoma sp.,yes,Branchiostoma sp.,Genus,Chordata,Leptocardii,na,Branchiostomatidae,Branchiostoma,na,lancelet-chordate,other,O,lancelet-chordate,No,,,
B801,Caretta caretta - alive,yes,Caretta caretta - alive,Species,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,caretta,sea turtle,turtle,O,sea turtle,No,,loggerhead sea turtle,
B803,Malaclemys terrapin,yes,Malaclemys terrapin,Species,Chordata,Reptilia,Testudines,Emydidae,Malaclemys,terrapin,terrapin,turtle,O,terrapin,No,,diamondback terrapin,
B805,Chelonia mydas,yes,Chelonia mydas,Species,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,sea turtle,turtle,O,sea turtle,No,,green sea turtle,
C001,Foraminifera,yes,Foraminifera,Phylum,Foraminifera,na,na,na,na,na,foraminifera,other,O,foraminifera,No,,,
C374,Porifera,yes,Porifera,Phylum,Porifera,na,na,na,na,na,sponge,other,O,sponge,No,,,
C517,Chaetognatha,yes,Chaetognatha,Phylum,Chaetognatha,na,na,na,na,na,chaetognath,other,O,chaetognath,No,,,
D003,Penaeus aztecus,yes,Penaeus aztecus,Species,Arthropoda,Malacostraca,Decapoda,Penaeidae,Penaeus,aztecus,decapod,other,O,shrimp,No,,brown shrimp,
D004,Penaeus duorarum,yes,Penaeus duorarum,Species,Arthropoda,Malacostraca,Decapoda,Penaeidae,Penaeus,duorarum,decapod,other,O,shrimp,No,,pink spotted shrimp,
D005,Penaeus setiferus,yes,Penaeus setiferus,Species,Arthropoda,Malacostraca,Decapoda,Penaeidae,Penaeus,setiferus,decapod,other,O,shrimp,No,,white shrimp,
D006,Parapenaeus longirostris,yes,Parapenaeus longirostris,Species,Arthropoda,Malacostraca,Decapoda,Penaeidae,Parapenaeus,longirostris,decapod,other,O,shrimp,No,,deep-water rose shrimp,
D007,Metapenaeopsis goodei,yes,Metapenaeopsis goodei,Species,Arthropoda,Malacostraca,Decapoda,Penaeidae,Metapenaeopsis,goodei,decapod,other,O,shrimp,No,,velvet shrimp,
D008,Xiphopenaeus kroyeri,yes,Xiphopenaeus kroyeri,Species,Arthropoda,Malacostraca,Decapoda,Penaeidae,Xiphopenaeus,kroyeri,decapod,other,O,shrimp,No,,Atlantic seabob,
D009,Trachypenaeus constrictus,no,Rimapenaeus constrictus,Species,Arthropoda,Malacostraca,Decapoda,Penaeidae,Rimapenaeus,constrictus,decapod,other,O,shrimp,No,,,
D010,Sicyonia brevirostris,yes,Sicyonia brevirostris,Species,Arthropoda,Malacostraca,Decapoda,Sicyoniidae,Sicyonia,brevirostris,decapod,other,O,shrimp,No,,rock shrimp,
D015,Sicyonia typica,yes,Sicyonia typica,Species,Arthropoda,Malacostraca,Decapoda,Sicyoniidae,Sicyonia,typica,decapod,other,O,shrimp,No,,kinglet rock shrimp,
D016,Acetes americanus,yes,Acetes americanus,Species,Arthropoda,Malacostraca,Decapoda,Sergestidae,Acetes,americanus,decapod,other,O,shrimp,No,,,
D018,Leptochela serratorbita,yes,Leptochela serratorbita,Species,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Leptochela,serratorbita,decapod,other,O,shrimp,No,,combclaw shrimp,
D023,Decapoda,yes,Decapoda,Order,Arthropoda,Malacostraca,Decapoda,na,na,na,decapod,other,O,decapod,No,,,
D026,Natantia (shrimp-like decapod),no,Natantia (shrimp-like decapod),Suborder,Arthropoda,Malacostraca,Decapoda,na,na,na,decapod,other,O,DO NOT USE,No,,,
D028,Macrobrachium ohione,yes,Macrobrachium ohione,Species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,ohione,decapod,other,O,shrimp,No,,ohio shrimp,
D031,Palaemonetes pugio,no,Palaemon pugio,Species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,pugio,decapod,other,O,shrimp,No,,daggerblade grass shrimp,
D032,Palaemonetes vulgaris,no,Palaemon vulgaris,Species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,vulgaris,decapod,other,O,shrimp,No,,marsh grass shrimp,
D035,Alpheus armillatus,yes,Alpheus armillatus,Species,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,armillatus,decapod,other,O,snapping shrimp,No,,banded snapping shrimp,
D036,Alpheus formosus,yes,Alpheus formosus,Species,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,formosa,decapod,other,O,snapping shrimp,No,,striped snapping shrimp,
D037,Alpheus heterochaelis,yes,Alpheus heterochaelis,Species,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,heterochaelis,decapod,other,O,snapping shrimp,No,,bigclaw snapping shrimp,
D038,Alpheus normanni,yes,Alpheus normanni,Species,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,normanni,decapod,other,O,snapping shrimp,No,,green snapping shrimp,
D045,Latreutes parvulus,yes,Latreutes parvulus,Species,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Latreutes,parvulus,decapod,other,O,shrimp,No,,sargassum shrimp,
D053,Periclimenes iridescens,yes,Periclimenes iridescens,Species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Periclimenes,iridescens,decapod,other,O,shrimp,No,,iridescent shrimp,
D061,Ogyrides alphaerostris,yes,Ogyrides alphaerostris,Species,Arthropoda,Malacostraca,Decapoda,Ogyrididae,Ogyrides,alphaerostris,decapod,other,O,shrimp,No,,estuarine longeye shrimp,
D063,Upogebia affinis,yes,Upogebia affinis,Species,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,affinis,decapod,other,O,shrimp,No,,coastal mud shrimp,
D069,Euceramus praelongus,yes,Euceramus praelongus,Species,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Euceramus,praelongus,decapod,other,O,crab,No,,olivepit porcelain crab,
D080,Clibanarius vittatus,yes,Clibanarius vittatus,Species,Arthropoda,Malacostraca,Decapoda,Diogenidae,Clibanarius,vittatus,decapod,other,O,hermit crab,No,,thinstripe hermit crab,
D088,Pagurus longicarpus,yes,Pagurus longicarpus,Species,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,longicarpus,decapod,other,O,hermit crab,No,,longwrist hermit,
D089,Pagurus pollicaris,yes,Pagurus pollicaris,Species,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,pollicaris,decapod,other,O,hermit crab,No,,flatclaw hermit,
D096,Albunea paretii,yes,Albunea paretii,Species,Arthropoda,Malacostraca,Decapoda,Albuneidae,Albunea,paretii,decapod,other,O,burrowing crab,No,,,
D097,Lepidopa websteri,yes,Lepidopa websteri,Species,Arthropoda,Malacostraca,Decapoda,Albuneidae,Lepidopa,websteri,decapod,other,O,burrowing crab,No,,,
D099,Emerita talpoida,yes,Emerita talpoida,Species,Arthropoda,Malacostraca,Decapoda,Hippidae,Emerita,talpoida,decapod,other,O,burrowing crab,No,,mole crab,
D108,Persephona mediterranea,yes,Persephona mediterranea,Species,Arthropoda,Malacostraca,Decapoda,Leucosiidae,Persephona,mediterranea,decapod,other,O,crab,No,,mottled purse crab,
D116,Hepatus epheliticus,yes,Hepatus epheliticus,Species,Arthropoda,Malacostraca,Decapoda,Aethridae,Hepatus,pudibundus,decapod,other,O,crab,No,,calico box crab,
D121,Ovalipes ocellatus,yes,Ovalipes ocellatus,Species,Arthropoda,Malacostraca,Decapoda,Ovalipidae,Ovalipes,ocellatus,decapod,other,O,crab,No,,ocellate lady crab,
D124,Portunus gibbesii,yes,Portunus gibbesii,Species,Arthropoda,Malacostraca,Decapoda,Portunidae,Portunus,gibbesii,decapod,other,O,crab,No,,irridescent swimming crab,
D128,Portunus spinimanus,no,Achelous spinimanus,Species,Arthropoda,Malacostraca,Decapoda,Portunidae,Achelous,spinimanus,decapod,other,O,crab,No,,blotched swimming crab,
D129,Callinectes ornatus,yes,Callinectes ornatus,Species,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,ornatus,decapod,other,O,crab,No,,shelligs,
D130,Callinectes sapidus,yes,Callinectes sapidus,Species,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,sapidus,decapod,other,O,crab,No,,blue crab,
D131,Arenaeus cribrarius,yes,Arenaeus cribrarius,Species,Arthropoda,Malacostraca,Decapoda,Portunidae,Arenaeus,cribrarius,decapod,other,O,crab,No,,speckled swimming crab,
D142,Menippe mercenaria,yes,Menippe mercenaria,Species,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe,mercenaria,decapod,other,O,crab,No,,stone crab,
D145,Rhithropanopeus harrisii,yes,Rhithropanopeus harrisii,Species,Arthropoda,Malacostraca,Decapoda,Panopeidae,Rhithropanopeus,harrisii,decapod,other,O,crab,No,,estuarine mud crab,
D147,Hexapanopeus paulensis,yes,Hexapanopeus paulensis,Species,Arthropoda,Malacostraca,Decapoda,Panopeidae,Hexapanopeus,paulensis,decapod,other,O,crab,No,,knobbed mud crab,
D148,Neopanope sayi,no,Dyspanopeus sayi,Species,Arthropoda,Malacostraca,Decapoda,Panopeidae,Dyspanopeus,sayi,decapod,other,O,crab,No,,Say mud crab,
D155,Eurypanopeus depressus,yes,Eurypanopeus depressus,Species,Arthropoda,Malacostraca,Decapoda,Panopeidae,Eurypanopeus,depressus,decapod,other,O,crab,No,,flatback mud crab,
D156,Panopeus herbstii,yes,Panopeus herbstii,Species,Arthropoda,Malacostraca,Decapoda,Panopeidae,Panopeus,herbstii,decapod,other,O,crab,No,,Atlantic mud crab,
D161,Albunea sp.,yes,Albunea sp.,Genus,Arthropoda,Malacostraca,Decapoda,Albuneidae,Albunea,na,decapod,other,O,burrowing crab,No,,,
D162,Pinnotheres maculatus,no,Tumidotheres maculatus,Species,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Tumidotheres,maculatus,decapod,other,O,pea crab,No,,squatter pea crab,
D163,Pinnotheres ostreus,no,Zaops ostreus,Species,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Zapos,ostreus,decapod,other,O,pea crab,No,,oyster pea crab,
D165,Dissodactylus mellitae,yes,Dissodactylus mellitae,Species,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Dissodactylus,mellitae,decapod,other,O,pea crab,No,,sand-dollar pea crab,
D166,Pinnixa chaetopterana,yes,Pinnixa chaetopterana,Species,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa,chaetopterana,decapod,other,O,pea crab,No,,tube pea crab,
D167,Pinnixa cristata,no,Austinixa cristata,Species,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Austinixa,cristata,decapod,other,O,pea crab,No,,cristate pea crab,
D171,Pinnixa sayana,yes,Pinnixa sayana,Species,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa,sayana,decapod,other,O,pea crab,No,,,
D175,Planes minutus,yes,Planes minutus,Species,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,minutus,decapod,other,O,crab,No,,sargassum crab,
D178,Sesarma reticulatum,yes,Sesarma reticulatum,Species,Arthropoda,Malacostraca,Decapoda,Sesarmidae,Sesarma,reticulatum,decapod,other,O,crab,No,,purple marsh crab,
D182,Uca minax,yes,Uca minax,Species,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Uca,minax,decapod,other,O,crab,No,,redjointed fiddler,
D200,Pelia mutica,yes,Pelia mutica,Species,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pelia,mutica,decapod,other,O,crab,No,,cryptic teadrop crab,
D202,Libinia dubia,yes,Libinia dubia,Species,Arthropoda,Malacostraca,Decapoda,Epialtidae,Libinia,dubia,decapod,other,O,crab,No,,longnose spider crab,
D203,Libinia emarginata,yes,Libinia emarginata,Species,Arthropoda,Malacostraca,Decapoda,Epialtidae,Libinia,emarginata,decapod,other,O,crab,No,,portly spider crab,
D221,Heterocrypta granulata,yes,Heterocrypta granulata,Species,Arthropoda,Malacostraca,Decapoda,Parthenopidae,Heterocrypta,granulata,decapod,other,O,crab,No,,smooth elbow crab/smooth albow crab,
D224,Palaemonetes sp.,no,Palaemon sp.,Genus,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,na,decapod,other,O,shrimp,No,,,
D240,Penaeus sp.,yes,Penaeus sp.,Genus,Arthropoda,Malacostraca,Decapoda,Penaeidae,Penaeus,na,decapod,other,O,shrimp,No,,,
D242,Crustacea,yes,Crustacea,Subphylum,Arthropoda,na,na,na,na,na,crustacean,other,O,crustacean,No,,,
D244,Xanthidae,yes,Xanthidae,Family,Arthropoda,Malacostraca,Decapoda,Xanthidae,na,na,decapod,other,O,crab,No,,,
D245,Portunus sp.,yes,Portunus sp.,Genus,Arthropoda,Malacostraca,Decapoda,Portunidae,Portunus,na,decapod,other,O,crab,No,,,
D246,Libinia sp.,yes,Libinia sp.,Genus,Arthropoda,Malacostraca,Decapoda,Epialtidae,Libinia,na,decapod,other,O,crab,No,,,
D247,Callinectes similis,yes,Callinectes similis,Species,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,similis,decapod,other,O,crab,No,,lesser blue crab,
D248,Callinectes sp.,yes,Callinectes sp.,Genus,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,na,decapod,other,O,crab,No,,,
D281,Pagurus sp.,yes,Pagurus sp.,Genus,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,na,decapod,other,O,hermit crab,No,,,
D282,Trachypenaeus sp.,yes,Trachypenaeus sp.,Genus,Arthropoda,Malacostraca,Decapoda,Penaeidae,Trachypenaeus,na,decapod,other,O,shrimp,No,,,
D285,Leander tenuicornis,yes,Leander tenuicornis,Species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Leander,tenuicornis,decapod,other,O,shrimp,No,,brown grass shrimp,
D289,Leptochela sp.,yes,Leptochela sp.,Genus,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Leptochela,na,decapod,other,O,shrimp,No,,,
D290,Alpheidae,yes,Alpheidae,Family,Arthropoda,Malacostraca,Decapoda,Alpheidae,na,na,decapod,other,O,snapping shrimp,No,,,
D292,Majidae,yes,Majidae,Family,Arthropoda,Malacostraca,Decapoda,Majidae,na,na,decapod,other,O,crab,No,,,
D297,Periclimenes sp.,yes,Periclimenes sp.,Genus,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Periclimenes,na,decapod,other,O,shrimp,No,,,
D299,Caridea,yes,Caridea,Infraorder,Arthropoda,Malacostraca,Decapoda,na,na,na,decapod,other,O,shrimp,No,,,
D300,Brachyura,yes,Brachyura,Infraorder,Arthropoda,Malacostraca,Decapoda,na,na,na,decapod,other,O,crab,No,,,
D301,Periclimenes americanus,yes,Periclimenes americanus,Species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Periclimenes,americanus,decapod,other,O,shrimp,No,,American grass shrimp,Not in Worms
D302,Penaeoidea,yes,Penaeoidea,Superfamily,Arthropoda,Malacostraca,Decapoda,na,na,na,decapod,other,O,shrimp,No,,,
D317,Penaeidae,yes,Penaeidae,Family,Arthropoda,Malacostraca,Decapoda,Penaeidae,na,na,decapod,other,O,shrimp,No,,,
D332,Periclimenaeus sp.,yes,Periclimenaeus sp.,Genus,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Periclimenaeus,na,decapod,other,O,shrimp,No,,,
D337,Paguridae,yes,Paguridae,Family,Arthropoda,Malacostraca,Decapoda,Paguridae,na,na,decapod,other,O,hermit crab,No,,,
D350,Anomura,yes,Anomura,Infraorder,Arthropoda,Malacostraca,Decapoda,na,na,na,decapod,other,O,hermit crab,No,,,
D354,Emerita sp.,yes,Emerita sp.,Genus,Arthropoda,Malacostraca,Decapoda,Hippidae,Emerita,na,decapod,other,O,burrowing crab,No,,,
D357,Hepatus pudibundus,yes,Hepatus pudibundus,Species,Arthropoda,Malacostraca,Decapoda,Aethridae,Hepatus,pudibundus,decapod,other,O,crab,No,,flecked box crab,
D369,Pinnixa sp.,yes,Pinnixa sp.,Genus,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa,na,decapod,other,O,pea crab,No,,,
D371,Callianassa atlantica,no,Gilvossius setimanus,Species,Arthropoda,Malacostraca,Decapoda,Callianassidae,Gilvossius,setimanus,decapod,other,O,ghost shrimp,No,,,
D373,Uca sp.,yes,Uca sp.,Genus,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Uca,na,decapod,other,O,crab,No,,,
D374,Portunidae,yes,Portunidae,Family,Arthropoda,Malacostraca,Decapoda,Portunidae,na,na,decapod,other,O,crab,No,,,
D385,Processa hemphilli,yes,Processa hemphilli,Species,Arthropoda,Malacostraca,Decapoda,Processidae,Processa,hemphilli,decapod,other,O,shrimp,No,,,
D387,Processa sp.,yes,Processa sp.,Genus,Arthropoda,Malacostraca,Decapoda,Processidae,Processa,na,decapod,other,O,shrimp,No,,,
D391,Callianassa sp.,yes,Callianassa sp.,Genus,Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassa,na,decapod,other,O,ghost shrimp,No,,,
D393,Grapsidae,yes,Grapsidae,Family,Arthropoda,Malacostraca,Decapoda,Grapsidae,na,na,decapod,other,O,crab,No,,,
D394,Callianassidae,yes,Callianassidae,Family,Arthropoda,Malacostraca,Decapoda,Callianassidae,na,na,decapod,other,O,ghost shrimp,No,,,
D395,Pinnotheridae,yes,Pinnotheridae,Family,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,na,na,decapod,other,O,pea crab,No,,,
D403,Paguridea,no,Paguroidea,Superfamily,Arthropoda,Malacostraca,Decapoda,na,na,na,decapod,other,O,hermit crab,No,,,
D404,Panopeus sp.,Yes,Panopeus sp.,Genus,Arthropoda,Malacostraca,Decapoda,Panopeidae,Panopeus,na,decapod,other,O,crab,No,,,
D406,Pinnotheres sp.,yes,Pinnotheres sp.,Genus,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnotheres,na,decapod,other,O,pea crab,No,,,
D409,Porcellanidae,yes,Porcellanidae,Family,Arthropoda,Malacostraca,Decapoda,Porcellanidae,na,na,decapod,other,O,crab,No,,,
D412,Alpheus sp.,yes,Alpheus sp.,Genus,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,na,decapod,other,O,snapping shrimp,No,,,
D413,Ogyrides sp.,yes,Ogyrides sp.,Genus,Arthropoda,Malacostraca,Decapoda,Ogyrididae,Ogyrides,na,decapod,other,O,shrimp,No,,,
D424,Hippidae,yes,Hippidae,Family,Arthropoda,Malacostraca,Decapoda,Hippidae,na,na,decapod,other,O,burrowing crab,No,,,
D441,Ogyrides hayi,yes,Ogyrides hayi,Species,Arthropoda,Malacostraca,Decapoda,Ogyrididae,Ogyrides,hayi,decapod,other,O,shrimp,No,,sand longeye shrimp,
D456,Eurypanopeus sp.,yes,Eurypanopeus sp.,Genus,Arthropoda,Malacostraca,Decapoda,Panopeidae,Eurypanopeus,na,decapod,other,O,crab,No,,,
D459,Macrocoeloma sp.,yes,Macrocoeloma sp.,Genus,Arthropoda,Malacostraca,Decapoda,Epialtidae,Macrocoeloma,na,decapod,other,O,crab,No,,,
D465,Crangonidae,yes,Crangonidae,Family,Arthropoda,Malacostraca,Decapoda,Crangonidae,na,na,decapod,other,O,shrimp,No,,,
D492,Biffarius biformis,yes,Biffarius biformis,Species,Arthropoda,Malacostraca,Decapoda,Callianassidae,Biffarius,biformis,decapod,other,O,ghost shrimp,No,,biform ghost shrimp,
D494,Sesarma cinereum,no,Armases cinereum,Species,Arthropoda,Malacostraca,Decapoda,Sesarmidae,Armases,cinereum,decapod,other,O,crab,No,,squareback marsh crab,
D495,Uca pugilator,yes,Uca pugilator,Species,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Uca,pugilator,decapod,other,O,crab,No,,Atlantic sand fiddler,
D496,Uca pugnax,yes,Uca pugnax,Species,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Uca,pugnax,decapod,other,O,crab,No,,mud fiddler/Atlantic marsh fiddler,
D500,Thalassinidea,no,Pleocyemata,Suborder,Arthropoda,Malacostraca,Decapoda,na,na,na,decapod,other,O,decapod,No,,,
D505,Pleocyemata,yes,Pleocyemata,Suborder,Arthropoda,Malacostraca,Decapoda,na,na,na,decapod,other,O,decapod,No,,,
D508,Ocypode quadrata,yes,Ocypode quadrata,Species,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Ocypode,quadrata,decapod,other,O,crab,No,,Atlantic ghost crab,
D509,Emerita benedicti,yes,Emerita benedicti,Species,Arthropoda,Malacostraca,Decapoda,Hippidae,Emerita,benedicti,decapod,other,O,burrowing crab,No,,Benedict sand crab,
D510,Macrobrachium sp.,yes,Macrobrachium sp.,Genus,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,na,decapod,other,O,shrimp,No,,,
D511,Macrobrachium acanthurus,yes,Macrobrachium acanthurus,Species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,acanthurus,decapod,other,O,shrimp,No,,cinnamon river crab,
D512,Leptalpheus forceps,yes,Leptalpheus forceps,Species,Arthropoda,Malacostraca,Decapoda,Alpheidae,Leptalpheus,forceps,decapod,other,O,snapping shrimp,No,,forceps shrimp,
D515,Petrolisthes armatus,yes,Petrolisthes armatus,Species,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Petrolisthes,armatus,decapod,other,O,crab,No,,green porcelain crab,
D519,Persephona aquilonaris,yes,Persephona aquilonaris,Species,Arthropoda,Malacostraca,Decapoda,Leucosiidae,Persephona,aquilonaris,decapod,other,O,crab,No,,,
D521,Petrolisthes sp.,yes,Petrolisthes sp.,Genus,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Petrolisthes,na,decapod,other,O,crab,No,,,
E001,Squilla empusa,yes,Squilla empusa,Species,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Squilla,empusa,mantis shrimp,other,O,mantis shrimp,No,,mantis shrimp,
E002,Squilla sp.,yes,Squilla sp.,Genus,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Squilla,na,mantis shrimp,other,O,mantis shrimp,No,,mantis shrimp,
E004,Lepidactylus dytiscus,yes,Lepidactylus dytiscus,Species,Arthropoda,Malacostraca,Amphipoda,Haustoriidae,Lepidactylus,dytiscus,amphipod,amphipod,A,amphipod,Yes,haustorid,,
E007,Elasmopus levis,yes,Elasmopus levis,Species,Arthropoda,Malacostraca,Amphipoda,Maeridae,Elasmopus,levis,amphipod,amphipod,A,amphipod,No,,,
E008,Gammarus sp.,yes,Gammarus sp.,Subgenus,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,na,decapod,other,O,crab,No,,,
