HUC_ID,HUC_DIGITS,YEAR,UPLAND,PRCT_IMPERV
3050202,8,2001,0,1.171415219
3050209,8,2001,0,0.572167196
3050210,8,2001,0,0.194511641
3060110,8,2001,0,1.093613346
3040204,8,2001,0,1.105441704
3050112,8,2001,0,0.248779687
3050201,8,2001,0,3.673118668
3060202,8,2001,0,0.953549079
3060203,8,2001,0,1.449779098
3060204,8,2001,0,1.377525965
3040206,8,2001,0,1.280460663
3040208,8,2001,0,3.184869151
3040205,8,2001,0,0.972333595
3040207,8,2001,0,0.583228331
3050205,8,2001,0,0.946990322
3050206,8,2001,0,0.411619775
3050207,8,2001,0,0.656934123
3050208,8,2001,0,1.212567869
3060109,8,2001,0,1.79417714
3050202,8,2006,0,1.288418518
3050209,8,2006,0,0.632769214
3050210,8,2006,0,0.204105025
3060110,8,2006,0,1.397461113
3040204,8,2006,0,1.144319622
3050112,8,2006,0,0.251790089
3050201,8,2006,0,4.270480311
3060202,8,2006,0,1.018645569
3060203,8,2006,0,1.535941329
3060204,8,2006,0,1.61125071
3040206,8,2006,0,1.605118818
3040208,8,2006,0,3.700813442
3040205,8,2006,0,1.039524593
3040207,8,2006,0,0.626388707
3050205,8,2006,0,0.985858768
3050206,8,2006,0,0.419148231
3050207,8,2006,0,0.67835555
3050208,8,2006,0,1.384173571
3060109,8,2006,0,2.161947336
3050202,8,2011,0,1.395062725
3050209,8,2011,0,0.653569943
3050210,8,2011,0,0.205733761
3060110,8,2011,0,1.589622312
3040204,8,2011,0,1.16016317
3050112,8,2011,0,0.253695121
3050201,8,2011,0,4.544462713
3060202,8,2011,0,1.044614509
3060203,8,2011,0,1.584019105
3060204,8,2011,0,1.725780897
3040206,8,2011,0,1.779330188
3040208,8,2011,0,3.928817119
3040205,8,2011,0,1.086946545
3040207,8,2011,0,0.646861814
3050205,8,2011,0,0.997560885
3050206,8,2011,0,0.423737868
3050207,8,2011,0,0.689158866
3050208,8,2011,0,1.467435064
3060109,8,2011,0,2.406664896
3040204,8,2001,1,1.113725257
3040205,8,2001,1,0.976640071
3040206,8,2001,1,1.303560087
3040207,8,2001,1,0.689303643
3040208,8,2001,1,5.598035913
3050112,8,2001,1,0.262960995
3050201,8,2001,1,4.250760061
3050202,8,2001,1,1.48033799
3050205,8,2001,1,0.949958989
3050206,8,2001,1,0.466811375
3050207,8,2001,1,0.694515803
3050208,8,2001,1,1.405132521
3050209,8,2001,1,1.195100215
3050210,8,2001,1,0.544928427
3060109,8,2001,1,1.888593352
3060110,8,2001,1,1.377552411
3060202,8,2001,1,0.959286323
3060203,8,2001,1,1.456309085
3060204,8,2001,1,1.805250524
3040204,8,2006,1,1.152814774
3040205,8,2006,1,1.042788649
3040206,8,2006,1,1.632849086
