HUC_ID,HUC_DIGITS,UPLAND,GROUP_A,GROUP_B,GROUP_C,GROUP_D,GROUP_A_D,GROUP_B_D,GROUP_C_D,A_prct,B_prct,C_prct,D_prct,AD_prct,BD_prct,CD_prct
3060202,8,1,610511400,717634800,333270000,155340900,237798000,710653500,250976700,20.24117683,23.79279549,11.04938745,5.150243919,7.884064683,23.56133425,8.320997387
3060203,8,1,691222500,820407600,410172300,9489600,421182000,969405300,205335000,19.59683879,23.25936363,11.62878876,0.269039508,11.9409246,27.4835952,5.821449522
3060204,8,1,327814200,3454200,61129800,802182600,278364600,566910900,848126700,11.35097402,0.119605967,2.116695285,27.77656932,9.638720173,19.62999436,29.36744087
3040204,8,2,796223700,332372700,408141000,115053300,811085400,357700500,613666800,23.184836,9.678192874,11.88445175,3.350178965,23.61758634,10.4157003,17.86905378
3040205,8,2,598741200,752479200,345106800,23187600,691742700,1913687100,842061600,11.58777785,14.56315651,6.67904753,0.448762767,13.3876886,37.03667125,16.29689548
3040206,8,2,534061800,193074300,142941600,12531600,1042974900,1407384900,653292000,13.39756194,4.843493568,3.585856431,0.314369774,26.16423947,35.30588852,16.3885903
3040207,8,2,173813400,13651200,10564200,4074300,108689400,289411200,516306600,15.56755903,1.222666732,0.946180255,0.364913785,9.734742259,25.92105062,46.24288732
3040208,8,2,300139200,49685400,7525800,4851900,334702800,158833800,25136100,34.07284802,5.64045977,0.854355045,0.550804598,37.99662835,18.03136654,2.853537676
3050112,8,2,183780900,48019500,108059400,3692700,186534000,230813100,837738900,11.4960887,3.003774775,6.759464382,0.230990308,11.668304,14.43810467,52.40327316
3050201,8,2,145192500,156706200,355429800,21856500,259680600,435277800,1092132900,5.887114108,6.353959611,14.41159695,0.886214574,10.52925822,17.6491904,44.28266614
3050202,8,2,87569100,64839600,47853000,15300,222531300,68811300,169775100,13.24006679,9.803465314,7.235165326,0.002313293,33.64576402,10.40396907,25.66925619
3050205,8,2,60077700,263441700,426975300,0,108478800,441396900,357665400,3.623425984,15.88878238,25.7518746,0,6.542609032,26.62167488,21.57163313
3050206,8,2,197822700,158842800,283194000,14708700,343259100,572689800,295652700,10.60046626,8.511701347,15.17514644,0.788175867,18.39377639,30.6879792,15.8427545
3050207,8,2,849119400,587647800,438630300,89657100,457157700,1123423200,632740500,20.32175659,14.06402392,10.49762635,2.145740355,10.94103786,26.886599,15.14321593
3050208,8,2,474123600,194702400,137715300,39469500,289640700,490050000,250578900,25.26933608,10.37704173,7.339803795,2.103603491,15.43696241,26.11816443,13.35508808
3050209,8,2,71667900,13698900,2275200,0,153016200,0,18431100,27.66146653,5.287327574,0.878152822,0,59.059251,0,7.113802075
3050210,8,2,24593400,6404400,0,3765600,10205100,1309500,0,53.14274601,13.83897316,0,8.136911708,22.05173084,2.829638273,0
