HUC_ID,HUC_DIGITS,UPLAND,GROUP_A,GROUP_B,GROUP_C,GROUP_D,GROUP_A_D,GROUP_B_D,GROUP_C_D
304020608,10,0,60369300,13998600,2781900,117000,67449600,57702600,134029800
304020609,10,0,66918600,4818600,0,0,188741700,141762600,140391900
304020610,10,0,51273000,101700,0,0,57825000,42341400,52793100
304020701,10,0,33090300,0,0,45900,28924200,91325700,264996000
304020804,10,0,16703100,0,0,21352500,38340900,1773900,0
305011202,10,0,25983900,14873400,38457900,0,13498200,76602600,380472300
305011203,10,0,72485100,4608000,10356300,22106700,99536400,15427800,103995900
305011204,10,0,42455700,0,583200,60729300,34233300,42958800,130729500
305020101,10,0,128700,13835700,20743200,0,2115900,25568100,23067000
305020102,10,0,7909200,13824900,38349900,0,7524000,58937400,206337600
305020103,10,0,32132700,11426400,57816000,7701300,50561100,113339700,197080200
305020104,10,0,36479700,17009100,9294300,16321500,111691800,1941300,72107100
305020105,10,0,1579500,8379000,132451200,0,12144600,151705800,255942000
305020106,10,0,34204500,46205100,27682200,3456000,42284700,40482000,81045000
305020107,10,0,36663300,49898700,74308500,58927500,45532800,54430200,349401600
305020201,10,0,39620700,16370100,40226400,952200,91498500,73488600,165657600
305020202,10,0,52417800,53326800,8399700,0,141498900,0,100017000
305020503,10,0,42489900,65340900,167074200,0,58593600,212349600,194333400
305020603,10,0,71813700,21132000,43264800,42965100,169405200,107212500,197863200
304020605,10,0,85133700,39539700,5220000,2961000,139930200,142539300,60140700
306011001,10,0,27343800,2849400,25123500,22500,32963400,128913300,113391900
306011002,10,0,26157600,2479500,22067100,36532800,16853400,22134600,135730800
306010901,10,0,127382400,127403100,134177400,103421700,21501900,123430500,211469400
306010903,10,0,97707600,14871600,81287100,65432700,88385400,268072200,456775200
306011003,10,0,77451300,14697900,1202400,83651400,64494900,12928500,5013000
304020406,10,0,54762300,94509000,19012500,0,175689900,75450600,41046300
304020607,10,0,43266600,9612900,11124000,4736700,133253100,287818200,143978400
304020803,10,0,111604500,15237900,0,27744300,94070700,41733000,26097300
304020702,10,0,145530900,13707000,10665000,47377800,93743100,210537000,306305100
304020406,10,1,54644400,94446000,18958500,0,175162500,75345300,40693500
304020408,10,1,123076800,58437000,47381400,25021800,307292400,117720900,181831500
304020508,10,1,58320900,3486600,62517600,0,47838600,288622800,186125400
304020509,10,1,77208300,745200,13734900,0,83311200,354716100,392004900
304020604,10,1,4506300,25703100,5102100,0,195288300,195025500,7637400
304020605,10,1,85040100,39517200,5215500,2954700,139754700,142340400,59886900
304020606,10,1,22480200,11722500,10127700,1086300,104318100,124355700,17047800
304020607,10,1,43158600,9579600,11040300,4729500,132204600,286250400,142927200
304020608,10,1,60094800,13973400,2781000,117000,67253400,57522600,133396200
304020609,10,1,65983500,4554000,0,0,184010400,140795100,138620700
304020610,10,1,50903100,94500,0,0,55283400,41838300,49835700
304020701,10,1,32908500,0,0,45900,27405000,90156600,264092400
304020702,10,1,144268200,13701600,10656900,45711000,92430900,209725200,297187200
304020801,10,1,112779000,24748200,4579200,5917500,140898600,82557900,0
304020802,10,1,68910300,10764900,2984400,3110400,84976200,37071900,0
304020803,10,1,110752200,14872500,0,19577700,93254400,41339700,25794000
304020804,10,1,16542000,0,0,19590300,37853100,1713600,0
305011202,10,1,25949700,14828400,38417400,0,13492800,76590900,377487900
305011203,10,1,72334800,4583700,10351800,20313000,99395100,15363900,97434000
305011204,10,1,42133500,0,583200,52089300,34132500,42597900,129047400
305020101,10,1,115200,13442400,20467800,0,2069100,24813000,22588200
305020102,10,1,7891200,13797000,38324700,0,7492500,58896000,205892100
305020103,10,1,32067900,11379600,57703500,6986700,50321700,113139000,196563600
305020104,10,1,36362700,16930800,9223200,15787800,110934000,1940400,70452000
305020105,10,1,1508400,8374500,132245100,0,12074400,151193700,255679200
305020106,10,1,33823800,45987300,27507600,3250800,41985000,40364100,79609500
305020107,10,1,36484200,49466700,73890000,54706500,45367200,54245700,344740500
305020201,10,1,39192300,16199100,40173300,783000,90684900,72803700,163317600
305020202,10,1,51695100,52587000,8384400,0,140461200,0,90241200
305020503,10,1,42268500,65259000,166870800,0,58286700,212079600,193565700
305020603,10,1,70880400,21043800,43056000,41024700,160945200,106132500,192773700
305020604,10,1,52016400,72727200,8532900,0,139773600,0,109387800
305020702,10,1,48162600,102740400,57898800,0,44275500,90920700,5633100
305020705,10,1,40927500,75546000,108643500,3709800,89957700,377322300,44157600
305020706,10,1,53350200,64871100,52155000,3628800,83736900,122611500,28485900
305020707,10,1,125011800,21719700,14423400,61274700,73044000,111779100,226639800
305020708,10,1,67998600,17992800,28783800,406800,53319600,180226800,19125900
305020709,10,1,23797800,10243800,40806000,8999100,5918400,122690700,118782000
305020710,10,1,30428100,2617200,5552100,62898300,43666200,34344900,109182600
305020711,10,1,55138500,6770700,7776900,141523200,21735900,37749600,32486400
305020801,10,1,32278500,29832300,24663600,0,20504700,49802400,3821400
305020803,10,1,43084800,22038300,14182200,0,71063100,64143900,3844800
305020804,10,1,135474300,27950400,37325700,20118600,89475300,182281500,63040500
305020805,10,1,67343400,5685300,225000,59280300,23510700,10872000,2217600
305020806,10,1,155571300,20222100,25047900,160753500,64481400,90420300,182066400
305020901,10,1,1880100,1857600,0,0,10361700,0,74597400
305020902,10,1,73164600,16291800,2286000,0,147087900,0,131508900
305021001,10,1,27756900,6439500,0,82899000,10512900,1359900,0
306010901,10,1,127265400,127254600,134050500,102157200,21481200,123342300,209873700
306010902,10,1,136176300,28580400,919800,3107700,78429600,130871700,129820500
306010903,10,1,97508700,14741100,80952300,63704700,88091100,266683500,446729400
306011001,10,1,27347400,2844900,24547500,22500,32954400,128539800,113132700
306011002,10,1,26051400,2459700,21701700,35034300,16742700,22071600,134657100
306011003,10,1,76232700,14493600,1177200,73059300,63330300,12663000,4795200
306020206,10,1,123660000,37372500,7172100,0,54177300,150490800,136856700
306020306,10,1,122508000,11699100,24409800,790200,53940600,234943200,77020200
306020401,10,1,35942400,0,2497500,112354200,11238300,14403600,746100
306020402,10,1,21363300,1575000,9899100,71282700,24464700,152276400,111055500
306020403,10,1,53138700,0,10826100,110986200,23370300,123725700,62778600
306020405,10,1,49984200,0,24408000,150779700,37260000,99899100,119937600
304020406,10,2,54252000,93988800,18862200,0,171331200,74223000,39466800
304020408,10,2,120953700,58055400,47206800,24795900,299282400,113555700,175003200
304020508,10,2,57686400,3471300,62085600,0,46791000,279784800,179815500
304020509,10,2,75339900,736200,13606200,0,78260400,344660400,369167400
304020604,10,2,4390200,24833700,4933800,0,172881000,179086500,7505100
304020605,10,2,84560400,39233700,5086800,2910600,135984600,139508100,58070700
304020606,10,2,21709800,11420100,9027000,1081800,96581700,115698600,16168500
304020607,10,2,42606900,9461700,10280700,4608000,124413300,275438700,138240900
304020608,10,2,59517900,13908600,2768400,88200,66056400,56369700,130113000
304020609,10,2,64506600,4346100,0,0,168774300,135321300,129731400
304020610,10,2,49989600,90900,0,0,49678200,40641300,30695400
304020701,10,2,32178600,0,0,43200,20813400,87276600,254369700
304020702,10,2,141435000,13659300,10566900,4254300,87367500,201919500,261097200
